hatchery,date,historic_flow,future_flow,flow_change_factor,pct_flow_change
Alsea Hatchery,1978-04-01,431437.5500540328,434987.89976749313,-3550.3497134603094,-0.82
Alsea Hatchery,1979-04-01,527519.6481914242,532161.5526484821,-4641.904457057943,-0.88
Alsea Hatchery,1980-04-01,596094.1664078833,605516.8377340583,-9422.671326174983,-1.58
Alsea Hatchery,1981-04-01,643793.6085143414,657971.4125810459,-14177.80406670447,-2.2
Alsea Hatchery,1982-04-01,843404.6994145949,855161.2952448537,-11756.595830258797,-1.39
Alsea Hatchery,1983-04-01,992087.3508856898,1018123.2544439451,-26035.90355825529,-2.62
Alsea Hatchery,1984-04-01,655636.4628526474,667958.6261765393,-12322.163323891931,-1.88
Alsea Hatchery,1985-04-01,460055.6803514482,470253.4889000669,-10197.80854861869,-2.22
Alsea Hatchery,1986-04-01,480783.20903610106,489580.8411365309,-8797.632100429852,-1.83
Alsea Hatchery,1987-04-01,507605.3345646488,517640.4819566025,-10035.14739195368,-1.98
Alsea Hatchery,1988-04-01,516871.4254384346,530109.45951321,-13238.034074775409,-2.56
Alsea Hatchery,1989-04-01,771942.5829181846,793065.3705865125,-21122.787668327917,-2.74
Alsea Hatchery,1990-04-01,333366.7591789632,334792.936358608,-1426.1771796448156,-0.43
Alsea Hatchery,1991-04-01,656870.3140788365,667022.552487066,-10152.238408229547,-1.55
Alsea Hatchery,1992-04-01,400593.3734914437,403221.2875202043,-2627.914028760628,-0.66
Alsea Hatchery,1993-04-01,757609.5246399143,772814.0278275104,-15204.5031875961,-2.01
Alsea Hatchery,1994-04-01,486424.8918425807,495411.1974551428,-8986.305612562108,-1.85
Alsea Hatchery,1995-04-01,730237.0640531062,743901.968467289,-13664.904414182762,-1.87
Alsea Hatchery,1996-04-01,653791.4077925546,661815.5457942387,-8024.138001684099,-1.23
Alsea Hatchery,1997-04-01,708836.9714448063,724251.1542545368,-15414.182809730526,-2.17
Alsea Hatchery,1998-04-01,751127.8121919737,769616.9970766831,-18489.184884709422,-2.46
Alsea Hatchery,1999-04-01,798314.8847282559,816032.1954554433,-17717.310727187432,-2.22
Alsea Hatchery,2000-04-01,442861.00289157126,449525.39293874876,-6664.390047177498,-1.5
Alsea Hatchery,2001-04-01,387812.05791717395,397823.75296199654,-10011.695044822583,-2.58
Alsea Hatchery,2002-04-01,595961.3195017218,605039.9436471142,-9078.624145392445,-1.52
Alsea Hatchery,2003-04-01,1021433.6021182605,1044510.7878396326,-23077.185721372138,-2.26
Alsea Hatchery,2004-04-01,415663.21783471823,422291.55278437055,-6628.334949652315,-1.59
Alsea Hatchery,2005-04-01,578305.6704449325,592819.0444677662,-14513.374022833654,-2.51
Alsea Hatchery,2006-04-01,558641.9156042666,569909.4634972994,-11267.54789303278,-2.02
Alsea Hatchery,1915-05-01,260782.76558153474,245874.1945787782,14908.571002756536,5.72
Alsea Hatchery,1916-05-01,561993.9325976266,534244.6259415038,27749.30665612279,4.94
Alsea Hatchery,1917-05-01,560228.5706408154,541011.5480463846,19217.022594430833,3.43
Alsea Hatchery,1918-05-01,197430.30101007488,193336.93786883802,4093.363141236856,2.07
